; reduction-mono 1048576 1073741824, Thu Aug 23 17:11:46 2018
index,dev_id,dev_name,dev_CC,dev_memClock,dev_clock,n,numSMs,blocks_i,blocks_i/numSMs,blocks_n,TBlocksize,TRuns,min_time,max_throughput
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 8192, 146, 8192, 64, 5, 0.036672 ms, 114.373 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 4096, 73, 4096, 128, 5, 0.037888 ms, 110.703 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 2048, 36, 2048, 256, 5, 0.038336 ms, 109.409 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 1024, 18, 1024, 512, 5, 0.04016 ms, 104.44 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1048576, 56, 512, 9, 512, 1024, 5, 0.045248 ms, 92.6959 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 16384, 292, 16384, 64, 5, 0.052576 ms, 159.552 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 8192, 146, 8192, 128, 5, 0.052736 ms, 159.068 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 4096, 73, 4096, 256, 5, 0.05424 ms, 154.657 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 2048, 36, 2048, 512, 5, 0.058912 ms, 142.392 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 2097152, 56, 1024, 18, 1024, 1024, 5, 0.067392 ms, 124.475 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 4194304, 56, 32768, 585, 32768, 64, 5, 0.084032 ms, 199.653 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 4194304, 56, 16384, 292, 16384, 128, 5, 0.085728 ms, 195.703 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 4194304, 56, 8192, 146, 8192, 256, 5, 0.090144 ms, 186.116 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 4194304, 56, 4096, 73, 4096, 512, 5, 0.0976 ms, 171.898 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 4194304, 56, 2048, 36, 2048, 1024, 5, 0.11312 ms, 148.313 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 8388608, 56, 65536, 1170, 65536, 64, 5, 0.15024 ms, 223.339 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 8388608, 56, 32768, 585, 32768, 128, 5, 0.15568 ms, 215.535 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 8388608, 56, 16384, 292, 16384, 256, 5, 0.164768 ms, 203.647 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 8388608, 56, 8192, 146, 8192, 512, 5, 0.177696 ms, 188.831 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 8388608, 56, 4096, 73, 4096, 1024, 5, 0.206592 ms, 162.419 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 16777216, 56, 131072, 2340, 131072, 64, 5, 0.284768 ms, 235.662 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 16777216, 56, 65536, 1170, 65536, 128, 5, 0.296896 ms, 226.035 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 16777216, 56, 32768, 585, 32768, 256, 5, 0.310208 ms, 216.335 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 16777216, 56, 16384, 292, 16384, 512, 5, 0.340896 ms, 196.86 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 16777216, 56, 8192, 146, 8192, 1024, 5, 0.394816 ms, 169.975 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 33554432, 56, 262144, 4681, 262144, 64, 5, 0.547264 ms, 245.252 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 33554432, 56, 131072, 2340, 131072, 128, 5, 0.570656 ms, 235.199 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 33554432, 56, 65536, 1170, 65536, 256, 5, 0.608064 ms, 220.73 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 33554432, 56, 32768, 585, 32768, 512, 5, 0.65664 ms, 204.401 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 33554432, 56, 16384, 292, 16384, 1024, 5, 0.763168 ms, 175.869 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 67108864, 56, 524288, 9362, 524288, 64, 5, 1.08915 ms, 246.463 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 67108864, 56, 262144, 4681, 262144, 128, 5, 1.13696 ms, 236.099 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 67108864, 56, 131072, 2340, 131072, 256, 5, 1.20221 ms, 223.285 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 67108864, 56, 65536, 1170, 65536, 512, 5, 1.30893 ms, 205.08 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 67108864, 56, 32768, 585, 32768, 1024, 5, 1.51242 ms, 177.488 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 134217728, 56, 1048576, 18724, 1048576, 64, 5, 2.1625 ms, 248.264 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 134217728, 56, 524288, 9362, 524288, 128, 5, 2.25818 ms, 237.745 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 134217728, 56, 262144, 4681, 262144, 256, 5, 2.39123 ms, 224.516 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 134217728, 56, 131072, 2340, 131072, 512, 5, 2.60227 ms, 206.309 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 134217728, 56, 65536, 1170, 65536, 1024, 5, 3.00547 ms, 178.631 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 268435456, 56, 2097152, 37449, 2097152, 64, 5, 4.27862 ms, 250.955 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 268435456, 56, 1048576, 18724, 1048576, 128, 5, 4.46893 ms, 240.268 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 268435456, 56, 524288, 9362, 524288, 256, 5, 4.73062 ms, 226.977 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 268435456, 56, 262144, 4681, 262144, 512, 5, 5.14352 ms, 208.756 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 268435456, 56, 131072, 2340, 131072, 1024, 5, 5.97453 ms, 179.72 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 536870912, 56, 4194304, 74898, 4194304, 64, 5, 8.53997 ms, 251.463 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 536870912, 56, 2097152, 37449, 2097152, 128, 5, 8.92118 ms, 240.717 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 536870912, 56, 1048576, 18724, 1048576, 256, 5, 9.44726 ms, 227.313 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 536870912, 56, 524288, 9362, 524288, 512, 5, 10.2816 ms, 208.867 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 536870912, 56, 262144, 4681, 262144, 1024, 5, 11.8826 ms, 180.725 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1073741824, 56, 8388608, 149796, 8388608, 64, 5, 17.067 ms, 251.654 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1073741824, 56, 4194304, 74898, 4194304, 128, 5, 17.8287 ms, 240.902 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1073741824, 56, 2097152, 37449, 2097152, 256, 5, 18.883 ms, 227.451 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1073741824, 56, 1048576, 18724, 1048576, 512, 5, 20.642 ms, 208.069 GB/s
   0, 0, Tesla P100-PCIE-16GB, 6.0, 715, 1189, 1073741824, 56, 524288, 9362, 524288, 1024, 5, 23.7834 ms, 180.587 GB/s
